"","ppntID","triadtype","presentation","base1","base2","base3","fuel1","fuel2","fuel3","fueltype1","fueltype2","fueltype3","choice_base","choice_fuel","choice_fueltype","drawtime","responsetime"
"85",1,"wedell",NA,0.83,0.5,0.83,12,20,10,"height","height","height",NA,NA,"height",NA,NA
"86",1,"wedell",NA,0.83,0.5,0.78,12,20,12,"height","height","height",NA,NA,"height",NA,NA
"87",1,"wedell",NA,0.83,0.5,0.78,12,20,10,"height","height","height",NA,NA,"height",NA,NA
"88",1,"wedell",NA,0.83,0.5,0.45,12,20,20,"height","height","height",NA,NA,"height",NA,NA
"89",1,"wedell",NA,0.83,0.5,0.5,12,20,18,"height","height","height",NA,NA,"height",NA,NA
"90",1,"wedell",NA,0.83,0.5,0.45,12,20,18,"height","height","height",NA,NA,"height",NA,NA
"91",1,"wedell",NA,0.83,0.67,0.83,12,15,10,"height","height","height",NA,NA,"height",NA,NA
"92",1,"wedell",NA,0.83,0.67,0.78,12,15,12,"height","height","height",NA,NA,"height",NA,NA
"93",1,"wedell",NA,0.83,0.67,0.78,12,15,10,"height","height","height",NA,NA,"height",NA,NA
"94",1,"wedell",NA,0.83,0.67,0.62,12,15,15,"height","height","height",NA,NA,"height",NA,NA
"95",1,"wedell",NA,0.83,0.67,0.67,12,15,13,"height","height","height",NA,NA,"height",NA,NA
"96",1,"wedell",NA,0.83,0.67,0.62,12,15,13,"height","height","height",NA,NA,"height",NA,NA
