"ppntID","base1","base2","fuel1","fuel2","fueltype1","fueltype2","valuegap","whichtrial","sliderfeature","drawtime","responsetime"
"1258996",0.5901403604131163,0.72,0.2460254826003132,0.9890258707317698,"color","color",0.5669090599543146,9,"base",1586275925094,1586275934271
"2577564",0.8989371086002338,0.7461303476164454,0.059229428266186934,0.43,"height","color",0.2675925184854204,2,"fuel",1586275934799,1586275937095
"1258996",0.5901403604131163,0.44,0.2460254826003132,0.9890258707317698,"color","color",0.289981816149419,9,"base",1586275935775,1586275938497
"2577564",0.8989371086002338,0.7461303476164454,0.059229428266186934,0.83,"height","color",0.5660446575319985,2,"fuel",1586275938601,1586275940273
"1258996",0.5901403604131163,0.7,0.2460254826003132,0.9890258707317698,"color","color",0.5471285425396791,9,"base",1586275940003,1586275943452
"2577564",0.8989371086002338,0.7461303476164454,0.059229428266186934,1,"height","color",0.6928868166267943,2,"fuel",1586275941778,1586275943264
"1258996",0.5901403604131163,0.95,0.2460254826003132,0.9890258707317698,"color","color",0.7943850102226216,9,"base",1586275944954,1586275947856
"824962",0.22721297474544822,0.7580695831662234,0.4482718678783062,0.63,"height","height",0.3757306527993923,7,"fuel",1586275932188,1586275947986
"1258996",0.5901403604131163,0.32,0.2460254826003132,0.9890258707317698,"color","color",0.17129871166160662,9,"base",1586275949360,1586275952904
"4415216",0.9488385465923841,0.5,0.6957102801627109,0.7311800698875655,"color","height",-0.29452669613518423,1,"base",1586275945092,1586275954348
"2577564",0.8989371086002338,0.7461303476164454,0.059229428266186934,0.07,"height","color",-0.001014406656499857,2,"fuel",1586275944768,1586275952799
"2577564",0.7508576030195202,0.5,0.6715782475640735,0.6996618326693709,"color","color",-0.15442871687132476,3,"base",1586275954303,1586275957437
"1258996",0.5901403604131163,0.42,0.2460254826003132,0.9890258707317698,"color","color",0.2702012987347836,9,"base",1586275954406,1586275957939
"824962",0.22721297474544822,0.7580695831662234,0.4482718678783062,0.62,"height","height",0.36814995696773,7,"fuel",1586275949494,1586275960570
"1258996",0.5901403604131163,0.07,0.2460254826003132,0.9890258707317698,"color","color",-0.07595775602133582,9,"base",1586275959442,1586275962967
"2577564",0.7508576030195202,0.72,0.6715782475640735,0.6996618326693709,"color","color",-0.0005031136840631945,3,"base",1586275958942,1586275963491
"824962",0.22721297474544822,0.7580695831662234,0.4482718678783062,0.38,"height","height",0.18621325700783642,7,"fuel",1586275962074,1586275970490
